FARS_ID,YEAR,MONTH,DAY,HOUR,MINUTE,STATE,CITY,LATITUDE,LONGITUDE,SEVERITY,FATALITIES,INJURIES,NUM_VEHICLES,WEATHER,ROAD_SURFACE
FARS_2022_000000,2022,12,24,3,18,CA,Los Angeles,33.982856,-118.159794,Other Injury,0,0,1,Fog,Dry
FARS_2022_000001,2022,5,7,4,41,CA,Los Angeles,33.905163,-117.931057,Other Injury,2,0,1,Rain,Dry
FARS_2022_000002,2022,4,5,20,12,CA,Los Angeles,33.850935,-118.056852,Other Injury,0,0,2,Rain,Gravel
FARS_2022_000003,2022,12,10,5,6,CA,Los Angeles,33.874327,-117.988969,Fatal,0,9,3,Snow,Dry
FARS_2022_000004,2022,5,3,3,5,CA,Los Angeles,33.81279,-118.017762,Other Injury,0,0,3,Wind,Snow/Ice
FARS_2022_000005,2022,8,18,7,12,CA,Los Angeles,33.913378,-118.018993,Other Injury,0,7,2,Wind,Gravel
FARS_2022_000006,2022,1,18,16,9,CA,Los Angeles,33.88125,-117.995961,No Injury,0,4,2,Rain,Gravel
FARS_2022_000007,2022,1,25,14,47,CA,Los Angeles,33.740198,-118.235543,No Injury,0,7,1,Clear,Dry
FARS_2022_000008,2022,12,25,1,46,CA,Los Angeles,33.780722,-118.316787,Other Injury,0,10,2,Fog,Snow/Ice
FARS_2022_000009,2022,7,20,8,22,CA,Los Angeles,33.862447,-118.122479,Other Injury,0,6,3,Rain,Snow/Ice
FARS_2022_000010,2022,7,24,3,23,CA,Los Angeles,33.851958,-117.97029,Fatal,0,4,4,Fog,Snow/Ice
FARS_2022_000011,2022,12,5,22,23,CA,Los Angeles,34.009608,-118.111689,Fatal,0,9,3,Wind,Dry
FARS_2022_000012,2022,11,24,19,2,CA,Los Angeles,33.746154,-118.359617,No Injury,0,10,2,Clear,Snow/Ice
FARS_2022_000013,2022,10,15,18,16,CA,Los Angeles,33.743154,-118.364794,Serious Injury,0,7,1,Fog,Wet
FARS_2022_000014,2022,7,2,16,41,CA,Los Angeles,34.050595,-117.920493,Other Injury,0,8,3,Fog,Snow/Ice
FARS_2022_000015,2022,9,5,22,49,CA,Los Angeles,33.943149,-118.370975,Fatal,0,7,1,Snow,Dry
FARS_2022_000016,2022,11,26,6,40,CA,Los Angeles,34.06032,-118.433092,Fatal,0,1,4,Fog,Gravel
FARS_2022_000017,2022,10,29,19,1,CA,Los Angeles,33.709771,-117.976078,No Injury,0,2,1,Clear,Wet
FARS_2022_000018,2022,7,10,2,55,CA,Los Angeles,34.05326,-118.278441,Other Injury,0,2,3,Rain,Wet
FARS_2022_000019,2022,10,30,21,47,CA,Los Angeles,33.852916,-118.032694,Serious Injury,0,5,2,Fog,Snow/Ice
FARS_2022_000020,2022,12,12,23,27,CA,Los Angeles,33.987882,-118.067288,Serious Injury,0,0,3,Wind,Wet
FARS_2022_000021,2022,10,25,20,20,CA,Los Angeles,33.77644,-118.488336,Other Injury,0,3,2,Rain,Gravel
FARS_2022_000022,2022,9,27,9,19,CA,Los Angeles,33.791291,-118.495924,Other Injury,0,7,3,Rain,Gravel
FARS_2022_000023,2022,12,26,4,13,CA,Los Angeles,34.073016,-117.998507,Other Injury,0,4,3,Rain,Gravel
FARS_2022_000024,2022,3,17,3,7,CA,Los Angeles,34.002729,-117.991273,Serious Injury,0,4,3,Snow,Snow/Ice
FARS_2022_000025,2022,11,3,22,13,CA,Los Angeles,33.81015,-118.294129,Other Injury,0,1,3,Rain,Wet
FARS_2022_000026,2022,11,29,16,26,CA,Los Angeles,33.77772,-118.411762,Fatal,0,4,2,Clear,Dry
FARS_2022_000027,2022,5,17,1,8,CA,Los Angeles,33.986872,-117.922837,No Injury,0,9,4,Rain,Dry
FARS_2022_000028,2022,8,1,10,42,CA,Los Angeles,33.841855,-118.030758,Serious Injury,0,5,2,Clear,Snow/Ice
FARS_2022_000029,2022,5,12,0,54,CA,Los Angeles,33.934097,-118.446891,Serious Injury,0,10,4,Fog,Gravel
FARS_2022_000030,2022,4,17,1,43,CA,Los Angeles,33.867066,-118.26373,Fatal,0,7,3,Fog,Dry
FARS_2022_000031,2022,5,10,12,2,CA,Los Angeles,33.918449,-118.176805,Serious Injury,0,7,4,Rain,Dry
FARS_2022_000032,2022,10,18,4,12,CA,Los Angeles,33.808488,-117.930805,Fatal,0,9,2,Clear,Gravel
FARS_2022_000033,2022,8,21,18,7,CA,Los Angeles,33.784799,-117.955659,Fatal,0,7,4,Clear,Gravel
FARS_2022_000034,2022,6,4,15,6,CA,Los Angeles,33.729048,-118.277503,Other Injury,0,6,3,Wind,Dry
FARS_2022_000035,2022,10,7,1,26,CA,Los Angeles,33.801478,-118.292794,Fatal,0,9,1,Rain,Wet
FARS_2022_000036,2022,3,27,17,12,CA,Los Angeles,34.031639,-118.395825,Serious Injury,0,9,4,Snow,Dry
FARS_2022_000037,2022,9,7,17,35,CA,Los Angeles,33.903488,-118.047112,Other Injury,0,10,4,Fog,Gravel
FARS_2022_000038,2022,10,16,6,40,CA,Los Angeles,33.773896,-118.454591,Serious Injury,0,1,2,Fog,Wet
FARS_2022_000039,2022,9,14,3,0,CA,Los Angeles,33.738588,-118.466443,No Injury,0,10,4,Fog,Gravel
FARS_2022_000040,2022,6,29,12,29,CA,Los Angeles,33.870768,-118.491656,Serious Injury,0,9,2,Snow,Dry
FARS_2022_000041,2022,6,18,7,24,CA,Los Angeles,33.88891,-118.431558,Other Injury,0,2,4,Wind,Dry
FARS_2022_000042,2022,6,14,16,6,CA,Los Angeles,33.958317,-118.195135,Serious Injury,0,9,1,Snow,Gravel
FARS_2022_000043,2022,11,10,1,50,CA,Los Angeles,33.968483,-118.435216,Serious Injury,0,9,2,Wind,Wet
FARS_2022_000044,2022,9,13,21,53,CA,Los Angeles,33.932436,-118.381546,Fatal,0,2,2,Clear,Dry
FARS_2022_000045,2022,8,8,9,49,CA,Los Angeles,33.955731,-118.483899,No Injury,0,1,4,Wind,Dry
FARS_2022_000046,2022,3,8,11,12,CA,Los Angeles,33.834897,-118.085629,Fatal,0,9,4,Snow,Dry
FARS_2022_000047,2022,9,4,16,40,CA,Los Angeles,33.81111,-118.252579,Other Injury,0,2,1,Rain,Dry
FARS_2022_000048,2022,6,16,2,53,CA,Los Angeles,33.724327,-118.233579,Fatal,0,1,1,Rain,Gravel
FARS_2022_000049,2022,10,31,7,49,CA,Los Angeles,33.97669,-118.113002,Other Injury,4,4,3,Rain,Dry
FARS_2022_000050,2022,3,28,11,41,CA,Los Angeles,34.014995,-118.228553,No Injury,0,0,1,Wind,Dry
FARS_2022_000051,2022,10,10,5,29,CA,Los Angeles,34.039822,-118.004193,Fatal,0,2,4,Fog,Dry
FARS_2022_000052,2022,1,18,8,34,CA,Los Angeles,33.840663,-118.447061,Other Injury,0,5,1,Snow,Wet
FARS_2022_000053,2022,1,8,7,47,CA,Los Angeles,33.941009,-118.414596,Serious Injury,5,9,2,Wind,Gravel
FARS_2022_000054,2022,12,9,12,8,CA,Los Angeles,33.776257,-117.928157,Other Injury,0,7,2,Fog,Gravel
FARS_2022_000055,2022,1,9,10,20,CA,Los Angeles,33.868005,-118.361403,Fatal,0,5,3,Rain,Gravel
FARS_2022_000056,2022,10,12,13,7,CA,Los Angeles,34.017769,-118.094184,No Injury,0,0,2,Wind,Wet
FARS_2022_000057,2022,7,18,2,14,CA,Los Angeles,33.901704,-117.904015,Serious Injury,0,8,2,Rain,Dry
FARS_2022_000058,2022,1,7,0,0,CA,Los Angeles,33.854138,-117.936759,Other Injury,5,7,3,Rain,Dry
